################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.1478077006697913E-02   7.7111173154335952E-02   3.2431956345430432E-02   6.3848774442001035E-03
         1          2   1.0887783551780446E-01   1.9510426791827057E-01   1.5421023828448904E-01   9.2186696462040873E-03
         1          3   0.0000000000000000E+00   3.6635671142192286E-03   1.1345366627905724E-05   6.7944647643670503E-05
         1          4   0.0000000000000000E+00   2.1083174573925261E-02   2.0443014141522214E-04   7.3143034204465707E-04
         1          5   8.2521254417878553E-02   4.1742296339067880E-01   1.8671437888515829E-01   2.9550218007414881E-02
         1          6   2.8190504229993113E-01   5.0190090900549944E-01   3.5571604984581157E-01   3.3112091078053574E-02
         1          7   0.0000000000000000E+00   3.7902937299556641E-02   3.1093343256392131E-04   1.1340375420707098E-03
         1          8   0.0000000000000000E+00   1.1825866811104732E-01   2.6310921532935747E-03   7.6753312975025266E-03
         1          9   2.3175279502304241E-01   1.0419710369326853E+00   5.1832358343215701E-01   1.0470041489173333E-01
         1         10   2.3470133065835141E-01   6.3908177732147431E-01   3.8916946931848406E-01   8.0541639127512527E-02
         1         11   0.0000000000000000E+00   1.5070271340123687E-01   3.6504370094276681E-03   9.0710434310302089E-03
         1         12   0.0000000000000000E+00   2.4402568733101646E-01   1.3782328903702542E-02   3.3211269810923497E-02
         1         13   1.8113278051054715E-01   1.6793972955150365E+00   8.7945556013342019E-01   1.9243846046457622E-01
         1         14   7.3857861825487425E-02   7.8760149358920828E-01   3.6473178083874547E-01   1.0019058798535786E-01
         1         15   0.0000000000000000E+00   3.1866006928864832E-01   1.8377752378794073E-02   3.4973885827287610E-02
         1         16   0.0000000000000000E+00   3.4657647376929529E-01   3.1492117250399944E-02   6.1380914626161263E-02
         1         17   1.3553708981177939E-01   1.9189749013318220E+00   1.0743982487442494E+00   2.0878547211957216E-01
         1         18   4.4117589701607347E-02   9.2917309678158178E-01   4.7504372211899282E-01   1.1817949527009489E-01
         1         19   0.0000000000000000E+00   4.4152749410764475E-01   4.0518707831581492E-02   6.3599690214928867E-02
         1         20   0.0000000000000000E+00   3.9066141216772021E-01   3.8214111818681472E-02   5.6224589163182619E-02
         1         21   2.4126644760185667E-01   1.7778525601036799E+00   1.0254411369559369E+00   1.7085001713633274E-01
         1         22   9.4839762406621425E-02   9.2326640335059273E-01   5.4305279219010660E-01   9.8324911459334960E-02
         1         23   0.0000000000000000E+00   3.4697310029412454E-01   4.2077504961480695E-02   5.6123500723356326E-02
         1         24   0.0000000000000000E+00   2.6421251069473484E-01   3.4515432835578903E-02   4.1734880142579971E-02
         1         25   2.4492589506812396E-01   1.1828780646467565E+00   7.7324647357398901E-01   1.1158176794843860E-01
         1         26   8.0028958391058821E-02   6.9825549901781159E-01   4.0805699400867335E-01   6.6263166926612008E-02
         1         27   0.0000000000000000E+00   2.0912551387316988E-01   2.5238069875022709E-02   2.9023072536922656E-02
         1         28   0.0000000000000000E+00   1.9109347619725661E-01   2.5766359348699745E-02   2.9168596682164174E-02
         1         29   1.9260576501632515E-01   6.8447891953753093E-01   4.2890940664276578E-01   5.9273020851902808E-02
